method_short,method,seed,observability_tier,scenario_count,window_count,mrr_mean,mrr_std,top1_mean,top3_mean,top5_mean
Cand-Obs,candidate_observability,7,direct,20,309,0.9062527491965898,0.13986218659130736,0.8533402346445825,0.9555555555555555,0.9555555555555555
Cand-Obs,candidate_observability,7,far,20,306,0.8405092592592591,0.25736647601123347,0.7496230158730158,0.9152777777777779,0.9944444444444445
Cand-Obs,candidate_observability,7,near,23,360,0.7963734025754485,0.29234070475909885,0.6927394146064223,0.8590153452685422,0.9024936061381075
Cand-Obs,candidate_observability,42,direct,21,289,0.9125471265947457,0.13722356990950585,0.8676973819830962,0.9517006802721087,0.9841269841269842
Cand-Obs,candidate_observability,42,far,18,240,0.895799785292539,0.19594078908293472,0.811694847020934,0.9814814814814815,1.0
Cand-Obs,candidate_observability,42,near,24,328,0.907397762345679,0.14107958430427414,0.8290509259259259,0.9853009259259259,0.9916666666666667
Cand-Obs,candidate_observability,123,direct,15,200,0.9462241462241463,0.08576460796660883,0.8924482924482925,1.0,1.0
Cand-Obs,candidate_observability,123,far,22,336,0.8042839105339106,0.25806514284720655,0.6799242424242423,0.8977272727272727,0.9766414141414141
Cand-Obs,candidate_observability,123,near,26,379,0.8025308913246806,0.2638893482077521,0.6989933269345034,0.8867812742812743,0.9351787101787102
Degree,degree,7,direct,20,309,0.8302648508898509,0.2441081671751339,0.7442857142857143,0.875,0.913888888888889
Degree,degree,7,far,20,306,0.7162682850918145,0.2325937958371636,0.4934232026143791,0.9484477124183007,0.9930555555555556
Degree,degree,7,near,23,360,0.7111410361569935,0.36392502963765444,0.60731031543052,0.7614734299516909,0.8169934640522876
Degree,degree,42,direct,21,289,0.7777257440818517,0.2593314002618888,0.6539370337506983,0.8552532123960694,0.9523809523809523
Degree,degree,42,far,18,240,0.601911159995399,0.2752128168918953,0.3600040257648953,0.8598027375201288,0.9394122383252819
Degree,degree,42,near,24,328,0.9669560185185185,0.10393491059896523,0.9355324074074075,0.9982638888888888,1.0
Degree,degree,123,direct,15,200,0.7617283950617284,0.2867054465199617,0.6018518518518517,0.9592592592592593,1.0
Degree,degree,123,far,22,336,0.6294349747474747,0.2548193922385962,0.38636363636363635,0.9166666666666667,0.9823232323232323
Degree,degree,123,near,26,379,0.8805782671312975,0.18482277003982991,0.796037296037296,0.9593628593628594,0.973115773115773
Two-stage v1,two_stage_balanced_layout_v1,7,direct,20,309,0.7733809236254888,0.25768369692545023,0.6554330572808833,0.8337301587301587,0.9155797101449276
Two-stage v1,two_stage_balanced_layout_v1,7,far,20,306,0.8448214285714286,0.26442636344253084,0.7592261904761906,0.9041666666666666,1.0
Two-stage v1,two_stage_balanced_layout_v1,7,near,23,360,0.8635168409784777,0.19805576273733186,0.7476555839727195,0.9867149758454106,0.996376811594203
Two-stage v1,two_stage_balanced_layout_v1,42,direct,21,289,0.8106101937451144,0.23164857273438802,0.6931972789115646,0.907785336356765,0.9814814814814815
Two-stage v1,two_stage_balanced_layout_v1,42,far,18,240,0.8988911358703024,0.23850555021400632,0.8518518518518519,0.9305555555555556,0.9814814814814815
Two-stage v1,two_stage_balanced_layout_v1,42,near,24,328,0.9053075396825396,0.18793894044718765,0.8310185185185185,0.9907407407407408,0.9976851851851851
Two-stage v1,two_stage_balanced_layout_v1,123,direct,15,200,0.9145622895622896,0.1345033072884339,0.8346801346801347,0.9962962962962963,1.0
Two-stage v1,two_stage_balanced_layout_v1,123,far,22,336,0.8405403238736572,0.21733547376738718,0.7152777777777778,0.9823232323232323,0.9823232323232323
Two-stage v1,two_stage_balanced_layout_v1,123,near,26,379,0.8996082621082622,0.15310277958413113,0.8193181818181817,0.9903846153846154,0.9903846153846154
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,direct,20,309,0.8754931561996779,0.21022069989975115,0.7958333333333333,0.9833333333333334,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,far,20,306,0.8887766495487084,0.19423797299894557,0.8130310457516339,0.9416666666666667,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,near,23,360,0.800203571766871,0.27307951149612664,0.6923131571469167,0.8964194373401534,0.9806763285024155
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,direct,21,289,0.8650154308539401,0.15908146643497403,0.7575309438663476,0.9744980117650925,0.9897959183673469
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,far,18,240,0.8577160493827161,0.18965973390026497,0.7513083735909823,0.9626610305958132,0.9976851851851851
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,near,24,328,0.8929037397787397,0.1925232504662447,0.8159722222222222,0.9812500000000001,0.9899305555555555
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,direct,15,200,0.9583333333333334,0.06984014248729381,0.9203703703703704,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,far,22,336,0.7564975148308482,0.2778121656157401,0.6147186147186147,0.8686868686868686,0.9772727272727273
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,near,26,379,0.8840895760013407,0.1886861502078228,0.7821581196581197,0.9978632478632478,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,direct,20,309,0.9130728088336785,0.1114903924989527,0.8261456176673567,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,far,20,306,0.7967757936507937,0.26119652692392886,0.6696428571428571,0.913888888888889,0.9875
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,near,23,360,0.8202037629573862,0.2687017320505396,0.7247087240693378,0.9093847684001137,0.95371554418869
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,direct,21,289,0.896440214694183,0.1786226078082433,0.8277021919879063,0.9814814814814815,0.992063492063492
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,far,18,240,0.8341677646025472,0.21592262429640421,0.7239331723027376,0.9344135802469135,0.988425925925926
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,near,24,328,0.9424768518518518,0.10444521265606406,0.8924768518518519,0.9861111111111112,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,direct,15,200,0.926290684624018,0.159605344875713,0.8698653198653198,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,far,22,336,0.7788194444444444,0.2635323149238602,0.6407828282828283,0.9425505050505051,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,near,26,379,0.9718482905982906,0.05789992123002022,0.9450854700854701,1.0,1.0
