scenario_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,observability_tier,is_hard_candidate,degree_mrr_mean,degree_seed_count,hard_far_current,hard_low_mrr_degree_q25,hard_far_and_low_mrr,degree_mrr_q25_cutoff
392,E,MH0101924,MH0100292.1,40,6,24,near,False,0.1141940235690235,1,False,True,False,0.5138888888888888
391,E,MH0101924,MH0100292.1,40,6,18,near,False,0.120679012345679,1,False,True,False,0.5138888888888888
350,E,HS1316563,HS1316467.1,40,12,6,direct,False,0.1401515151515151,1,False,True,False,0.5138888888888888
393,E,MH0101924,MH0100292.1,50,18,6,near,False,0.1435185185185185,1,False,True,False,0.5138888888888888
386,E,HS2003111,HS1314268.1,40,6,24,far,True,0.157390873015873,1,True,True,True,0.5138888888888888
51,I,HS1316563,,50,20,6,direct,False,0.1849206349206349,1,False,True,False,0.5138888888888888
384,E,HS2003046,HS1306601.1,50,12,18,near,False,0.2464285714285714,1,False,True,False,0.5138888888888888
45,I,HS2003046,,60,8,6,near,False,0.2749999999999999,1,False,True,False,0.5138888888888888
186,I,HS1313925,,60,2,18,near,False,0.2775634116314122,1,False,True,False,0.5138888888888888
135,I,HS2003085,,50,2,24,far,True,0.2891821946169772,1,True,True,True,0.5138888888888888
131,I,HS2003085,,50,14,6,far,True,0.2916666666666666,1,True,True,True,0.5138888888888888
99,I,HS1306601,,60,8,18,direct,False,0.3009259259259259,1,False,True,False,0.5138888888888888
420,E,VP0232532,18,40,6,18,far,True,0.3333333333333332,1,True,True,True,0.5138888888888888
14,I,VP0232532,,40,14,6,far,True,0.3333333333333333,1,True,True,True,0.5138888888888888
419,E,VP0232532,18,60,0,6,far,True,0.3333333333333333,2,True,True,True,0.5138888888888888
43,I,HS2003046,,60,2,18,near,False,0.3691176470588235,1,False,True,False,0.5138888888888888
326,E,HS1314237,HS1314210.1,50,6,12,far,True,0.3789930555555555,2,True,True,True,0.5138888888888888
97,I,HS1306601,,40,20,18,direct,False,0.3888888888888887,1,False,True,False,0.5138888888888888
359,E,HS1316643,HS1316671.1,60,12,18,far,True,0.4074074074074074,1,True,True,True,0.5138888888888888
71,I,MH0201710,,60,20,6,far,True,0.4083333333333334,1,True,True,True,0.5138888888888888
406,E,MH0201710,25,50,18,18,far,True,0.4092592592592592,1,True,True,True,0.5138888888888888
77,I,HS1344263,,60,8,6,far,True,0.4166666666666667,1,True,True,True,0.5138888888888888
93,I,HS1314237,,50,14,24,far,True,0.4194444444444445,1,True,True,True,0.5138888888888888
53,I,HS1316563,,50,14,18,direct,False,0.4203703703703704,1,False,True,False,0.5138888888888888
265,E,HS1306904,HS1313402.2,40,12,18,direct,False,0.4277777777777777,1,False,True,False,0.5138888888888888
381,E,HS2003046,HS1306601.1,40,0,18,near,False,0.4305555555555555,1,False,True,False,0.5138888888888888
415,E,MH0242782,MH0258475.1,40,0,12,far,True,0.4444444444444444,1,True,True,True,0.5138888888888888
76,I,HS1344263,,40,14,12,far,True,0.4513888888888888,1,True,True,True,0.5138888888888888
313,E,HS1313402,HS1313391.1,60,0,6,direct,False,0.4555555555555555,1,False,True,False,0.5138888888888888
215,I,HS1344902,,50,20,18,far,True,0.466005291005291,2,True,True,True,0.5138888888888888
119,I,HS2003015,,40,2,12,near,False,0.4726584022038567,1,False,True,False,0.5138888888888888
409,E,MH0201710,25,50,12,12,far,True,0.4791666666666667,1,True,True,True,0.5138888888888888
408,E,MH0201710,25,60,6,12,far,True,0.4861111111111111,1,True,True,True,0.5138888888888888
410,E,MH0201710,25,60,6,18,far,True,0.4907407407407407,1,True,True,True,0.5138888888888888
11,I,VP0232532,,60,14,6,far,True,0.5,1,True,True,True,0.5138888888888888
206,I,MH0242782,,60,14,6,far,True,0.5,2,True,True,True,0.5138888888888888
214,I,HS1344902,,40,8,24,far,True,0.5,1,True,True,True,0.5138888888888888
314,E,HS1313402,HS1313391.1,40,0,18,direct,False,0.5,1,False,True,False,0.5138888888888888
315,E,HS1313402,HS1313391.1,50,0,6,direct,False,0.5,1,False,True,False,0.5138888888888888
331,E,HS1314477,1,50,0,6,near,False,0.5,1,False,True,False,0.5138888888888888
335,E,HS1314477,1,40,12,6,near,False,0.5,1,False,True,False,0.5138888888888888
196,I,MH0101924,,60,20,24,near,False,0.5138888888888888,1,False,True,False,0.5138888888888888
55,I,HS1316563,,60,14,18,direct,False,0.5338624338624339,1,False,False,False,0.5138888888888888
357,E,HS1316643,HS1316671.1,40,12,12,far,True,0.5416666666666666,1,True,False,False,0.5138888888888888
113,I,HS1306471,,40,8,24,far,True,0.5625,1,True,False,False,0.5138888888888888
88,I,MH0200661,,50,2,24,far,True,0.5652173913043478,1,True,False,False,0.5138888888888888
169,I,HS1313205,,40,14,6,direct,False,0.5694444444444444,1,False,False,False,0.5138888888888888
209,I,MH0242782,,60,8,18,far,True,0.5925925925925926,1,True,False,False,0.5138888888888888
225,I,HS1330842,,50,8,18,far,True,0.6229497354497355,2,True,False,False,0.5138888888888888
58,I,HS1316814,,40,20,24,far,True,0.625,1,True,False,False,0.5138888888888888
74,I,MH0201710,,50,8,24,far,True,0.6437499999999999,1,True,False,False,0.5138888888888888
349,E,HS1316563,HS1316467.1,40,12,18,direct,False,0.646141975308642,3,False,False,False,0.5138888888888888
59,I,HS1316814,,60,2,24,far,True,0.6521739130434783,1,True,False,False,0.5138888888888888
373,E,HS1344263,MH0242782.1,40,18,24,far,True,0.6597222222222222,1,True,False,False,0.5138888888888888
89,I,MH0200661,,50,20,12,far,True,0.6666666666666666,1,True,False,False,0.5138888888888888
100,I,HS1306601,,60,2,12,direct,False,0.6666666666666666,2,False,False,False,0.5138888888888888
360,E,HS1316643,HS1316671.1,40,0,6,far,True,0.6666666666666666,1,True,False,False,0.5138888888888888
414,E,MH0242782,MH0258475.1,60,6,18,far,True,0.6666666666666667,1,True,False,False,0.5138888888888888
372,E,HS1344263,MH0242782.1,40,6,12,far,True,0.673611111111111,1,True,False,False,0.5138888888888888
226,I,HS1316585,,60,20,12,near,False,0.6805555555555555,1,False,False,False,0.5138888888888888
264,E,HS1306904,HS1313402.2,60,0,24,direct,False,0.6825396825396826,1,False,False,False,0.5138888888888888
346,E,HS1316563,HS1316467.1,50,12,18,direct,False,0.6928571428571428,2,False,False,False,0.5138888888888888
312,E,HS1313402,HS1313391.1,40,0,24,direct,False,0.7023809523809523,2,False,False,False,0.5138888888888888
202,I,HS2003111,,40,14,18,far,True,0.7055555555555556,1,True,False,False,0.5138888888888888
161,I,HS1313835,,60,20,12,direct,False,0.7083333333333334,1,False,False,False,0.5138888888888888
351,E,HS1316585,HS1344263.1,40,18,24,near,False,0.7083333333333334,1,False,False,False,0.5138888888888888
354,E,HS1316585,HS1344263.1,50,0,18,near,False,0.7333333333333333,1,False,False,False,0.5138888888888888
272,E,HS1308302,HS1308301.1,60,6,18,near,False,0.7376543209876544,1,False,False,False,0.5138888888888888
252,E,HS1306571,HS1306554.2,40,0,24,direct,False,0.7380952380952381,1,False,False,False,0.5138888888888888
150,I,HS1311473,,40,20,6,near,False,0.75,2,False,False,False,0.5138888888888888
251,E,HS1306571,HS1306554.2,50,6,6,direct,False,0.75,1,False,False,False,0.5138888888888888
175,I,HS1306904,,50,2,24,direct,False,0.7753623188405797,1,False,False,False,0.5138888888888888
258,E,HS1306601,HS1306571.1,50,18,18,direct,False,0.7916666666666666,2,False,False,False,0.5138888888888888
147,I,HS1311473,,40,8,6,near,False,0.8333333333333334,1,False,False,False,0.5138888888888888
73,I,MH0201710,,40,20,24,far,True,0.8680555555555555,1,True,False,False,0.5138888888888888
72,I,MH0201710,,60,20,12,far,True,0.875,2,True,False,False,0.5138888888888888
332,E,HS1314477,1,50,6,12,near,False,0.875,1,False,False,False,0.5138888888888888
253,E,HS1306571,HS1306554.2,60,0,18,direct,False,0.8833333333333334,2,False,False,False,0.5138888888888888
329,E,HS1314237,HS1314210.1,50,0,12,far,True,0.8888888888888888,1,True,False,False,0.5138888888888888
345,E,HS1316202,HS1316177.1,50,12,24,near,False,0.8888888888888888,1,False,False,False,0.5138888888888888
190,I,HS1313925,,50,14,24,near,False,0.8979268790849673,2,False,False,False,0.5138888888888888
189,I,HS1313925,,40,2,6,near,False,0.9,1,False,False,False,0.5138888888888888
26,I,HS1311339,,60,2,18,far,True,0.9137254901960784,1,True,False,False,0.5138888888888888
254,E,HS1306571,HS1306554.2,50,12,6,direct,False,0.9166666666666666,1,False,False,False,0.5138888888888888
92,I,HS1314237,,50,20,12,far,True,0.9444444444444444,1,True,False,False,0.5138888888888888
3,I,HS1313402,,60,20,12,direct,False,0.9583333333333334,1,False,False,False,0.5138888888888888
35,I,HS1311288,,40,14,24,near,False,0.9666666666666668,1,False,False,False,0.5138888888888888
85,I,HS1313471,,40,14,18,near,False,0.9722222222222222,1,False,False,False,0.5138888888888888
362,E,HS1316721,HS1316811.1,40,18,24,near,False,0.9722222222222222,1,False,False,False,0.5138888888888888
364,E,HS1316721,HS1316811.1,50,18,18,near,False,0.9722222222222222,1,False,False,False,0.5138888888888888
103,I,HS1316202,,50,20,24,near,False,0.9791666666666666,1,False,False,False,0.5138888888888888
366,E,HS1324403,14,40,18,24,near,False,0.9791666666666666,1,False,False,False,0.5138888888888888
1,I,HS1313402,,60,8,12,direct,False,1.0,1,False,False,False,0.5138888888888888
7,I,MH0258475,,40,8,12,far,True,1.0,1,True,False,False,0.5138888888888888
18,I,MH0201629,,40,8,18,far,True,1.0,1,True,False,False,0.5138888888888888
21,I,HS1308259,,50,2,24,near,False,1.0,1,False,False,False,0.5138888888888888
22,I,HS1308259,,60,2,12,near,False,1.0,1,False,False,False,0.5138888888888888
24,I,HS1308259,,60,14,18,near,False,1.0,1,False,False,False,0.5138888888888888
33,I,HS1311288,,50,8,6,near,False,1.0,1,False,False,False,0.5138888888888888
39,I,HS1313298,,40,8,24,direct,False,1.0,1,False,False,False,0.5138888888888888
40,I,HS1313298,,60,14,24,direct,False,1.0,1,False,False,False,0.5138888888888888
48,I,HS1314505,,40,20,6,near,False,1.0,1,False,False,False,0.5138888888888888
49,I,HS1314505,,50,14,12,near,False,1.0,1,False,False,False,0.5138888888888888
50,I,HS1314505,,50,2,6,near,False,1.0,1,False,False,False,0.5138888888888888
65,I,HS1316417,,50,14,6,near,False,1.0,1,False,False,False,0.5138888888888888
68,I,HS1313025,,60,2,24,direct,False,1.0,1,False,False,False,0.5138888888888888
69,I,HS1313025,,60,20,18,direct,False,1.0,2,False,False,False,0.5138888888888888
81,I,HS1313471,,60,14,12,near,False,1.0,1,False,False,False,0.5138888888888888
84,I,HS1313471,,60,2,18,near,False,1.0,1,False,False,False,0.5138888888888888
104,I,HS1316202,,40,2,18,near,False,1.0,1,False,False,False,0.5138888888888888
107,I,HS1313618,,50,20,24,near,False,1.0,2,False,False,False,0.5138888888888888
112,I,HS1306471,,40,14,24,far,True,1.0,1,True,False,False,0.5138888888888888
114,I,HS1306471,,50,20,6,far,True,1.0,1,True,False,False,0.5138888888888888
122,I,HS1313140,,60,8,6,near,False,1.0,1,False,False,False,0.5138888888888888
124,I,HS1313140,,50,14,18,near,False,1.0,1,False,False,False,0.5138888888888888
127,I,HS1308302,,50,8,18,near,False,1.0,1,False,False,False,0.5138888888888888
136,I,HS1306571,,60,8,6,direct,False,1.0,1,False,False,False,0.5138888888888888
138,I,HS1306571,,50,2,6,direct,False,1.0,1,False,False,False,0.5138888888888888
152,I,HS1316721,,60,2,18,near,False,1.0,2,False,False,False,0.5138888888888888
153,I,HS1316721,,60,14,18,near,False,1.0,1,False,False,False,0.5138888888888888
155,I,HS1316721,,60,8,24,near,False,1.0,1,False,False,False,0.5138888888888888
159,I,HS1314477,,60,14,12,near,False,1.0,1,False,False,False,0.5138888888888888
167,I,HS1313205,,50,8,6,direct,False,1.0,1,False,False,False,0.5138888888888888
168,I,HS1313205,,50,20,24,direct,False,1.0,1,False,False,False,0.5138888888888888
170,I,HS1313205,,60,20,6,direct,False,1.0,1,False,False,False,0.5138888888888888
176,I,HS1324403,,60,20,12,near,False,1.0,1,False,False,False,0.5138888888888888
177,I,HS1324403,,40,20,12,near,False,1.0,1,False,False,False,0.5138888888888888
181,I,HS1316415,,40,14,18,far,True,1.0,1,True,False,False,0.5138888888888888
184,I,HS1316415,,50,2,6,far,True,1.0,1,True,False,False,0.5138888888888888
188,I,HS1313925,,60,20,6,near,False,1.0,1,False,False,False,0.5138888888888888
192,I,HS1313001,,60,14,6,direct,False,1.0,2,False,False,False,0.5138888888888888
193,I,HS1313001,,40,2,24,direct,False,1.0,1,False,False,False,0.5138888888888888
197,I,MH0101924,,40,2,18,near,False,1.0,1,False,False,False,0.5138888888888888
212,I,HS1344902,,60,2,6,far,True,1.0,1,True,False,False,0.5138888888888888
219,I,HS1306554,,50,8,6,near,False,1.0,1,False,False,False,0.5138888888888888
231,I,HS1313253,,40,20,18,direct,False,1.0,1,False,False,False,0.5138888888888888
234,I,HS1313253,,40,8,24,direct,False,1.0,1,False,False,False,0.5138888888888888
236,I,HS1313597,,40,20,18,direct,False,1.0,1,False,False,False,0.5138888888888888
242,I,HS1344261,,60,8,6,near,False,1.0,1,False,False,False,0.5138888888888888
244,I,HS1344261,,50,8,18,near,False,1.0,1,False,False,False,0.5138888888888888
248,I,HS1344920,,60,2,24,near,False,1.0,1,False,False,False,0.5138888888888888
261,E,HS1306904,HS1313402.2,60,6,18,direct,False,1.0,1,False,False,False,0.5138888888888888
271,E,HS1308302,HS1308301.1,50,6,6,near,False,1.0,1,False,False,False,0.5138888888888888
274,E,HS1308302,HS1308301.1,50,12,12,near,False,1.0,1,False,False,False,0.5138888888888888
276,E,HS1311339,HS1311349.2,50,12,24,far,True,1.0,1,True,False,False,0.5138888888888888
277,E,HS1311339,HS1311349.2,40,12,18,far,True,1.0,1,True,False,False,0.5138888888888888
279,E,HS1311339,HS1311349.2,40,12,6,far,True,1.0,1,True,False,False,0.5138888888888888
280,E,HS1311339,HS1311349.2,60,18,18,far,True,1.0,1,True,False,False,0.5138888888888888
291,E,HS1313140,HS1313044.1,60,6,6,near,False,1.0,2,False,False,False,0.5138888888888888
292,E,HS1313140,HS1313044.1,60,6,12,near,False,1.0,1,False,False,False,0.5138888888888888
294,E,HS1313140,HS1313044.1,50,18,12,near,False,1.0,1,False,False,False,0.5138888888888888
306,E,HS1313298,HS1313343.1,50,6,12,direct,False,1.0,1,False,False,False,0.5138888888888888
307,E,HS1313298,HS1313343.1,50,0,6,direct,False,1.0,1,False,False,False,0.5138888888888888
309,E,HS1313298,HS1313343.1,60,6,12,direct,False,1.0,1,False,False,False,0.5138888888888888
316,E,HS1313597,HS1313613.1,50,0,18,direct,False,1.0,1,False,False,False,0.5138888888888888
318,E,HS1313597,HS1313613.1,60,18,6,direct,False,1.0,1,False,False,False,0.5138888888888888
320,E,HS1313597,HS1313613.1,50,12,12,direct,False,1.0,1,False,False,False,0.5138888888888888
323,E,HS1313835,HS1313794.1,60,0,12,direct,False,1.0,1,False,False,False,0.5138888888888888
340,E,HS1314505,HS1314769.1,50,12,18,near,False,1.0,3,False,False,False,0.5138888888888888
341,E,HS1316202,HS1316177.1,40,6,24,near,False,1.0,1,False,False,False,0.5138888888888888
344,E,HS1316202,HS1316177.1,50,12,12,near,False,1.0,2,False,False,False,0.5138888888888888
367,E,HS1324403,14,60,18,24,near,False,1.0,1,False,False,False,0.5138888888888888
383,E,HS2003046,HS1306601.1,50,0,6,near,False,1.0,1,False,False,False,0.5138888888888888
399,E,MH0200661,VP0232532.1,60,0,24,far,True,1.0,2,True,False,False,0.5138888888888888
405,E,MH0201629,MH0201597.1,40,0,12,far,True,1.0,1,True,False,False,0.5138888888888888
