method_short,method,seed,intensity_pct,scenario_count,row_count,window_count,scenario_mrr_mean,scenario_mrr_std,scenario_top1_mean,scenario_top3_mean,scenario_top5_mean
Cand-Obs,candidate_observability,7,40,19,19,333,0.7334634156506211,0.3329234947567202,0.642226570261972,0.7673718610251118,0.8660560715514276
Cand-Obs,candidate_observability,7,50,16,16,238,0.8487261629188713,0.19534108386311408,0.7618055555555555,0.9184027777777778,0.9626736111111112
Cand-Obs,candidate_observability,7,60,28,28,404,0.9191573187245913,0.15895095409858007,0.8428956365154757,0.9964110644257703,0.9964110644257703
Cand-Obs,candidate_observability,42,40,14,14,197,0.8735780423280424,0.20075266798107058,0.7813492063492063,0.9619047619047619,0.9857142857142858
Cand-Obs,candidate_observability,42,50,31,31,457,0.9236857176250585,0.13745777978592064,0.8746220975533738,0.9660394265232976,0.989247311827957
Cand-Obs,candidate_observability,42,60,18,18,203,0.9000601250601251,0.1483387178452626,0.8154000320666986,0.9936507936507937,1.0
Cand-Obs,candidate_observability,123,40,23,23,383,0.8251572328378078,0.25889299875162475,0.7356876215571867,0.8985836627140975,0.9224967061923585
Cand-Obs,candidate_observability,123,50,19,19,249,0.8611024087997772,0.20626530841805168,0.7786549707602339,0.9283625730994153,0.9780701754385964
Cand-Obs,candidate_observability,123,60,21,21,283,0.829230917956408,0.24697615477273166,0.7049344990521461,0.9285714285714286,1.0
Degree,degree,7,40,19,19,333,0.6736750599140949,0.3149906400853038,0.5143065998329156,0.7953216374269005,0.8245614035087719
Degree,degree,7,50,16,16,238,0.728461097980859,0.29761088403278085,0.5885416666666666,0.8185763888888888,0.8975694444444444
Degree,degree,7,60,28,28,404,0.8154179587565219,0.26580911896794696,0.6976365546218488,0.9205182072829131,0.9607843137254902
Degree,degree,42,40,14,14,197,0.6826377078609221,0.29319688965118845,0.4857142857142857,0.884920634920635,0.9464285714285714
Degree,degree,42,50,31,31,457,0.820637054104796,0.261586444460024,0.7209755337385071,0.8903693314633007,0.9675081813931744
Degree,degree,42,60,18,18,203,0.8542727423766071,0.22194560348856024,0.7508492446898244,0.966931216931217,0.9814814814814815
Degree,degree,123,40,23,23,383,0.7714561624146604,0.2532945156954608,0.615689503732982,0.9492314448836189,0.9744400527009224
Degree,degree,123,50,19,19,249,0.7941703216374268,0.24440486607403814,0.6349415204678364,0.9385964912280701,0.97953216374269
Degree,degree,123,60,21,21,283,0.7302763080540858,0.282049322745964,0.5714285714285714,0.9444444444444444,0.9947089947089948
Two-stage v1,two_stage_balanced_layout_v1,7,40,19,19,333,0.7564916215659923,0.29731570122211776,0.6590434419381788,0.7972013366750209,0.9316043732519705
Two-stage v1,two_stage_balanced_layout_v1,7,50,16,16,238,0.8695053499740999,0.18611101285181159,0.7569444444444444,0.9774305555555556,0.9913194444444444
Two-stage v1,two_stage_balanced_layout_v1,7,60,28,28,404,0.8549824277537103,0.2187193229120702,0.7448688170920542,0.9523809523809524,0.9880952380952381
Two-stage v1,two_stage_balanced_layout_v1,42,40,14,14,197,0.7996104727503537,0.2878060654031224,0.6972222222222222,0.9027777777777778,0.9722222222222222
Two-stage v1,two_stage_balanced_layout_v1,42,50,31,31,457,0.9038735607283994,0.18819723649636386,0.8431899641577061,0.9480286738351255,0.9874551971326164
Two-stage v1,two_stage_balanced_layout_v1,42,60,18,18,203,0.8730893592004703,0.20682309808718258,0.7741622574955909,0.9757495590828924,1.0
Two-stage v1,two_stage_balanced_layout_v1,123,40,23,23,383,0.931340579710145,0.11989671724627218,0.881379007465964,0.9903381642512078,0.9927536231884058
Two-stage v1,two_stage_balanced_layout_v1,123,50,19,19,249,0.854970760233918,0.1795079374728365,0.7289473684210526,0.9956140350877194,0.9956140350877194
Two-stage v1,two_stage_balanced_layout_v1,123,60,21,21,283,0.8540408812234209,0.21335851499209055,0.7350889850889851,0.9814814814814815,0.9814814814814815
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,40,19,19,333,0.7772862952707144,0.2705343901289767,0.6491658066735466,0.8881578947368421,0.9941520467836258
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,50,16,16,238,0.8771412037037037,0.21228144271814386,0.8038194444444444,0.9557291666666666,0.9791666666666666
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,60,28,28,404,0.8888349784358187,0.2063235915182062,0.8180438842203548,0.9625350140056023,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,40,14,14,197,0.8210738335738336,0.24413732719389994,0.7172619047619048,0.9430555555555555,0.9827380952380952
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,50,31,31,457,0.9118225769347789,0.13894860696627964,0.8397226118123734,0.9833645005454262,0.9932795698924731
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,60,18,18,203,0.848464952027754,0.17753960372392893,0.7189981247952262,0.9808488612836439,0.9973544973544973
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,40,23,23,383,0.858877770109654,0.21730262760866606,0.7578502415458938,0.9589371980676329,0.9782608695652174
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,50,19,19,249,0.9071150097465887,0.1645663998777231,0.8342105263157894,1.0,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,60,21,21,283,0.8102333526002994,0.2602293852312636,0.6849962207105064,0.9047619047619048,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,40,19,19,333,0.7962989951391262,0.26449895370335363,0.6700139628696635,0.9195906432748537,0.9919590643274854
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,50,16,16,238,0.8422705477392978,0.24102836100015476,0.7465277777777778,0.9453125,0.96875
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,60,28,28,404,0.8734160330798986,0.1995994963892019,0.7824771575296785,0.9498716153127917,0.9763655462184875
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,40,14,14,197,0.8388037117203784,0.22942084672713278,0.7402777777777778,0.9176587301587302,0.9732142857142857
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,50,31,31,457,0.928916679653005,0.1369726535088067,0.8764414835592956,0.9838709677419355,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,60,18,18,203,0.8844466490299824,0.16687333151512543,0.7943562610229278,0.9861111111111112,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,40,23,23,383,0.9374496779388083,0.14949852713277312,0.8907004830917874,0.9981884057971014,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,50,19,19,249,0.9073099415204677,0.17691537187350462,0.8502923976608187,0.9912280701754386,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,60,21,21,283,0.8331529581529582,0.24334518838027575,0.7178932178932179,0.9497354497354497,1.0
