method_key,method_short,method,budget,node_id,selection_count,layout_seed_count,selection_frequency
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1306601,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1308324,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1311284,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1311339,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313025,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313044,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313253,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313298,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313402,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313487,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313835,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1314477,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1316202,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1316585,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1316676,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1316721,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1316835,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1330842,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS2003013,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS2003111,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,MH0201710,10,10,1.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313640,8,10,0.8
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,MH0201597,8,10,0.8
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313925,6,10,0.6
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1316302,6,10,0.6
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313959,4,10,0.4
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1316267,4,10,0.4
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,HS1313618,2,10,0.2
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,MH0242782,2,10,0.2
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1306601,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1306904,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1311284,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1311887,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313025,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313044,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313298,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313487,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313835,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313959,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1314477,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1316267,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1316585,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1316676,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1316721,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1316835,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS2003013,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS2003111,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,MH0201710,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,MH0241587,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313253,9,10,0.9
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1330842,9,10,0.9
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1316445,8,10,0.8
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,MH0242303,8,10,0.8
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1308301,6,10,0.6
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1308324,4,10,0.4
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313794,2,10,0.2
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1316202,2,10,0.2
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313167,1,10,0.1
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,YS2003067,1,10,0.1
